"fname","kind","material"
"갈비탕","한식","국물 요리,고기,야채,소고기,당면,깊은 맛"
"고구마튀김","양식","단 맛,바삭한 식감,뜨거운 요리,튀긴 요리,고구마"
"곰탕","한식","뜨거운 요리,국물 요리,고기,소고기,우려낸 국물"
"군만두","중식","튀긴 요리,구운 요리,고기,야채,돼지고기,만두"
"규동","일식","짠 맛,걸쭉한 식감,밥,소고기,덮밥"
"규카츠","일식","튀긴 요리,고기,소고기,소스있음"
"그라탕","양식","고소한 맛,걸쭉한 식감,뜨거운 요리,느끼한 요리,고기,치즈,계란"
"김밥","분식","밥,김,오이,우엉,계란,단무지,햄,게맛살"
"김치찌개","한식","매운 맛,뜨거운 요리,국물 요리,김치,찌개류"
"깐쇼새우","중식","매운 맛,단 맛,튀긴 요리,새우, 기름짐"
"깐풍기","중식","매운 맛,튀긴 요리,고기,닭고기,기름짐"
"냉면","한식","단 맛,차가운 요리,국물 요리,면,오이"
"닌자완스","중식","튀긴 요리,볶은 요리,고기,기름짐"
"닭강정","분식","걸쭉한 식감,튀긴 요리,고기,닭고기,양념소스"
"닭꼬치","분식","매운 맛,단 맛,뜨거운 요리,구운 요리,고기,닭"
"돈까스","일식","튀긴 요리,고기,돼지고기,소스있음"
"돼지국밥","한식","국물 요리,고기,밥,돼지고기,부추,우려낸 국물"
"된장찌개","한식","짠 맛,뜨거운 요리,국물 요리,야채,두부,조개,된장"
"떡국","한식","뜨거운 요리,국물 요리,야채,밀가루,떡"
"떡볶이","분식","매운 맛,단 맛,걸쭉한 식감,뜨거운 요리,볶은 요리,떡,오뎅,곤약,고추장"
"류산슬","중식","걸쭉한 식감,볶은 요리,야채,해산물,따듯함,기름짐"
"리조또","양식","단 맛,걸쭉한 식감,뜨거운 요리,느끼한 요리,볶은 요리,야채,밥"
"마카롱","양식","단 맛,바삭한 식감,빵,이탈리아 간식"
"마파두부","중식","매운 맛,밥,두부,소스있음,따듯함"
"미역국","한식","뜨거운 요리,국물 요리,야채,미역,소고기"
"밀면","한식","단 맛,차가운 요리,국물 요리,고기,면,오이,겨자,식초"
"부대찌개","한식","매운 맛,국물 요리,야채,햄,김치,버섯,파"
"비빔밥","한식","매운 맛,야채,밥,고추장,비빈것"
"삼계탕","한식","뜨거운 요리,삶은 요리,국물 요리,야채,밥,닭고기"
"새우볶음밥","중식","볶은 요리,밥,새우,볶음밥"
"샌드위츠","양식","야채,빵,햄,계란,마요네즈,케찹"
"소시지야채볶음","한식","볶은 요리,야채,소세지,양파,고추장"
"수플레","양식","단 맛,구운 요리,계란,밀가루,디저트"
"순대","분식","뜨거운 요리,삶은 요리,당면,쌈장,소금"
"순두부찌개","한식","매운 맛,국물 요리,순두부,고추장"
"스시","일식","날 음식,밥,회,와사비"
"스콘","양식","단 맛,고소한 맛,바삭한 식감,빵,밀가루,계란"
"스테이크","양식","뜨거운 요리,느끼한 요리,구운 요리,고기,소스있음"
"스프","양식","단 맛,고소한 맛,걸쭉한 식감,뜨거운 요리,느끼한 요리,국물 요리,양송이"
"아이스크림","양식","단 맛,차가운 요리,디저트"
"오뎅","분식","짠 맛,뜨거운 요리,간장,밀가루,생선"
"오므라이스","중식","볶은 요리,야채,밥,계란,케찹"
"오향장육","중식","삶은 요리,고기,야채,소스있음,기름짐"
"우동","양식","국물 요리,면,밀가루,유부,오뎅"
"울면","중식","차가운 요리,면,시원함"
"육회","한식","단 맛,차가운 요리,날 음식,고기,참기름"
"잡채밥","중식","볶은 요리,야채,밥,덮밥,잡채"
"제육볶음","한식","매운 맛,볶은 요리,고기,야채,돼지고기,고추장"
"죽","한식","걸쭉한 식감,뜨거운 요리,국물 요리,고기,야채,밥,아주 뜨거움"
"짜장면","중식","단 맛,야채,소스있음,기름짐"
"짜장밥","중식","단 맛,밥,계란,소스있음,기름짐"
"짬뽕","중식","매운 맛,뜨거운 요리,야채,면,해산물"
"쫄면","분식","매운 맛,단 맛,차가운 요리,면,고추장"
"참치마요","분식","야채,밥,비빈것,참치"
"초콜렛","양식","단 맛,바삭한 식감,카카오,설탕,우유,디저트"
"츠케멘","일식","짠 맛,국물 요리,면,밀가루"
"치킨마요","분식","튀긴 요리,야채,밥,비빈것,치킨"
"카스테라","양식","단 맛,빵,부드러운 식감,밀가루,계란"
"케이크","양식","단 맛,빵,부드러운 식감,생크림,디저트,계란,밀가루"
"콩나물국","한식","국물 요리,야채,콩나물,파"
"타르트","양식","단 맛,구운 요리,빵,밀가루,디저트"
"타코야끼","일식","단 맛,밀가루,문어,데리야끼소스,다랑어포"
"탕수육","중식","단 맛,튀긴 요리,고기,기름짐"
"파스타","양식","단 맛,걸쭉한 식감,뜨거운 요리,느끼한 요리,볶은 요리,국물 요리,고기,야채,치즈,면,토마토"
"팔보채","중식","걸쭉한 식감,볶은 요리,해산물,따듯함,기름짐,소스있음"
"패스트리","양식","바삭한 식감,빵,밀가루,오븐에 구운"
"피자","양식","단 맛,고소한 맛,바삭한 식감,뜨거운 요리,느끼한 요리,구운 요리,고기,야채,치즈,빵,파프리카,올리브"
"햄버거","양식","고기,야채,치즈,빵,패스트푸드"
